GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HD01_VD01,Estimate; Total:,99776510
HD02_VD01,Margin of Error; Total:,98891
HD01_VD02,Estimate; Total: - Chief executives,1024259
HD02_VD02,Margin of Error; Total: - Chief executives,13853
HD01_VD03,Estimate; Total: - General and operations managers,977284
HD02_VD03,Margin of Error; Total: - General and operations managers,15445
HD01_VD04,Estimate; Total: - Legislators,14815
HD02_VD04,Margin of Error; Total: - Legislators,1905
HD01_VD05,Estimate; Total: - Advertising and promotions managers,43015
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers,3129
HD01_VD06,Estimate; Total: - Marketing and sales managers,754514
HD02_VD06,Margin of Error; Total: - Marketing and sales managers,13248
HD01_VD07,Estimate; Total: - Public relations and fundraising managers,44198
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers,3198
HD01_VD08,Estimate; Total: - Administrative services managers,109703
HD02_VD08,Margin of Error; Total: - Administrative services managers,4238
HD01_VD09,Estimate; Total: - Computer and information systems managers,489048
HD02_VD09,Margin of Error; Total: - Computer and information systems managers,11540
HD01_VD10,Estimate; Total: - Financial managers,990611
HD02_VD10,Margin of Error; Total: - Financial managers,17724
HD01_VD11,Estimate; Total: - Compensation and benefits managers,14656
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers,1801
HD01_VD12,Estimate; Total: - Human resources managers,307004
HD02_VD12,Margin of Error; Total: - Human resources managers,8849
HD01_VD13,Estimate; Total: - Training and development managers,41185
HD02_VD13,Margin of Error; Total: - Training and development managers,3297
HD01_VD14,Estimate; Total: - Industrial production managers,218198
HD02_VD14,Margin of Error; Total: - Industrial production managers,6712
HD01_VD15,Estimate; Total: - Purchasing managers,175540
HD02_VD15,Margin of Error; Total: - Purchasing managers,6665
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers",185512
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers",6503
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers",499775
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers",9953
HD01_VD18,Estimate; Total: - Construction managers,469706
HD02_VD18,Margin of Error; Total: - Construction managers,11868
HD01_VD19,Estimate; Total: - Education administrators,708239
HD02_VD19,Margin of Error; Total: - Education administrators,14238
HD01_VD20,Estimate; Total: - Architectural and engineering managers,132575
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers,5722
HD01_VD21,Estimate; Total: - Food service managers,740359
HD02_VD21,Margin of Error; Total: - Food service managers,16509
HD01_VD22,Estimate; Total: - Funeral service managers,5439
HD02_VD22,Margin of Error; Total: - Funeral service managers,1184
HD01_VD23,Estimate; Total: - Gaming managers,17294
HD02_VD23,Margin of Error; Total: - Gaming managers,2473
HD01_VD24,Estimate; Total: - Lodging managers,96419
HD02_VD24,Margin of Error; Total: - Lodging managers,5019
HD01_VD25,Estimate; Total: - Medical and health services managers,546042
HD02_VD25,Margin of Error; Total: - Medical and health services managers,12117
HD01_VD26,Estimate; Total: - Natural sciences managers,16766
HD02_VD26,Margin of Error; Total: - Natural sciences managers,2214
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents,28282
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents,2657
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers",414232
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers",11430
HD01_VD29,Estimate; Total: - Social and community service managers,279952
HD02_VD29,Margin of Error; Total: - Social and community service managers,8054
HD01_VD30,Estimate; Total: - Emergency management directors,6422
HD02_VD30,Margin of Error; Total: - Emergency management directors,1404
HD01_VD31,"Estimate; Total: - Managers, all other",3034121
HD02_VD31,"Margin of Error; Total: - Managers, all other",32317
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes",28413
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes",3078
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products",7184
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products",1302
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products",170412
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products",8205
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products",220927
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products",7921
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators",257730
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators",8050
HD01_VD37,Estimate; Total: - Compliance officers,193020
HD02_VD37,Margin of Error; Total: - Compliance officers,7109
HD01_VD38,Estimate; Total: - Cost estimators,105744
HD02_VD38,Margin of Error; Total: - Cost estimators,5166
HD01_VD39,Estimate; Total: - Human resources workers,571108
HD02_VD39,Margin of Error; Total: - Human resources workers,13664
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists",53127
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists",4244
HD01_VD41,Estimate; Total: - Training and development specialists,105954
HD02_VD41,Margin of Error; Total: - Training and development specialists,4622
HD01_VD42,Estimate; Total: - Logisticians,97563
HD02_VD42,Margin of Error; Total: - Logisticians,6128
HD01_VD43,Estimate; Total: - Management analysts,589692
HD02_VD43,Margin of Error; Total: - Management analysts,11715
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners",78856
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners",5226
HD01_VD45,Estimate; Total: - Fundraisers,63985
HD02_VD45,Margin of Error; Total: - Fundraisers,4282
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists,230432
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists,7191
HD01_VD47,"Estimate; Total: - Business operations specialists, all other",211970
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other",6908
HD01_VD48,Estimate; Total: - Accountants and auditors,1651199
HD02_VD48,Margin of Error; Total: - Accountants and auditors,20816
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate,75414
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate,4307
HD01_VD50,Estimate; Total: - Budget analysts,41799
HD02_VD50,Margin of Error; Total: - Budget analysts,3328
HD01_VD51,Estimate; Total: - Credit analysts,23011
HD02_VD51,Margin of Error; Total: - Credit analysts,2766
HD01_VD52,Estimate; Total: - Financial analysts,65367
HD02_VD52,Margin of Error; Total: - Financial analysts,4390
HD01_VD53,Estimate; Total: - Personal financial advisors,283136
HD02_VD53,Margin of Error; Total: - Personal financial advisors,9054
HD01_VD54,Estimate; Total: - Insurance underwriters,94336
HD02_VD54,Margin of Error; Total: - Insurance underwriters,5026
HD01_VD55,Estimate; Total: - Financial examiners,10413
HD02_VD55,Margin of Error; Total: - Financial examiners,1619
HD01_VD56,Estimate; Total: - Credit counselors and loan officers,285649
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers,8505
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents",50960
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents",4093
HD01_VD58,Estimate; Total: - Tax preparers,51485
HD02_VD58,Margin of Error; Total: - Tax preparers,3656
HD01_VD59,"Estimate; Total: - Financial specialists, all other",58785
HD02_VD59,"Margin of Error; Total: - Financial specialists, all other",4327
HD01_VD60,Estimate; Total: - Computer and information research scientists,12993
HD02_VD60,Margin of Error; Total: - Computer and information research scientists,2091
HD01_VD61,Estimate; Total: - Computer systems analysts,441538
HD02_VD61,Margin of Error; Total: - Computer systems analysts,10239
HD01_VD62,Estimate; Total: - Information security analysts,50853
HD02_VD62,Margin of Error; Total: - Information security analysts,3531
HD01_VD63,Estimate; Total: - Computer programmers,374314
HD02_VD63,Margin of Error; Total: - Computer programmers,9220
