GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Chief executives
HD02_VD02,Margin of Error; Total: - Chief executives
HD01_VD03,Estimate; Total: - General and operations managers
HD02_VD03,Margin of Error; Total: - General and operations managers
HD01_VD04,Estimate; Total: - Legislators
HD02_VD04,Margin of Error; Total: - Legislators
HD01_VD05,Estimate; Total: - Advertising and promotions managers
HD02_VD05,Margin of Error; Total: - Advertising and promotions managers
HD01_VD06,Estimate; Total: - Marketing and sales managers
HD02_VD06,Margin of Error; Total: - Marketing and sales managers
HD01_VD07,Estimate; Total: - Public relations and fundraising managers
HD02_VD07,Margin of Error; Total: - Public relations and fundraising managers
HD01_VD08,Estimate; Total: - Administrative services managers
HD02_VD08,Margin of Error; Total: - Administrative services managers
HD01_VD09,Estimate; Total: - Computer and information systems managers
HD02_VD09,Margin of Error; Total: - Computer and information systems managers
HD01_VD10,Estimate; Total: - Financial managers
HD02_VD10,Margin of Error; Total: - Financial managers
HD01_VD11,Estimate; Total: - Compensation and benefits managers
HD02_VD11,Margin of Error; Total: - Compensation and benefits managers
HD01_VD12,Estimate; Total: - Human resources managers
HD02_VD12,Margin of Error; Total: - Human resources managers
HD01_VD13,Estimate; Total: - Training and development managers
HD02_VD13,Margin of Error; Total: - Training and development managers
HD01_VD14,Estimate; Total: - Industrial production managers
HD02_VD14,Margin of Error; Total: - Industrial production managers
HD01_VD15,Estimate; Total: - Purchasing managers
HD02_VD15,Margin of Error; Total: - Purchasing managers
HD01_VD16,"Estimate; Total: - Transportation, storage, and distribution managers"
HD02_VD16,"Margin of Error; Total: - Transportation, storage, and distribution managers"
HD01_VD17,"Estimate; Total: - Farmers, ranchers, and other agricultural managers"
HD02_VD17,"Margin of Error; Total: - Farmers, ranchers, and other agricultural managers"
HD01_VD18,Estimate; Total: - Construction managers
HD02_VD18,Margin of Error; Total: - Construction managers
HD01_VD19,Estimate; Total: - Education administrators
HD02_VD19,Margin of Error; Total: - Education administrators
HD01_VD20,Estimate; Total: - Architectural and engineering managers
HD02_VD20,Margin of Error; Total: - Architectural and engineering managers
HD01_VD21,Estimate; Total: - Food service managers
HD02_VD21,Margin of Error; Total: - Food service managers
HD01_VD22,Estimate; Total: - Funeral service managers
HD02_VD22,Margin of Error; Total: - Funeral service managers
HD01_VD23,Estimate; Total: - Gaming managers
HD02_VD23,Margin of Error; Total: - Gaming managers
HD01_VD24,Estimate; Total: - Lodging managers
HD02_VD24,Margin of Error; Total: - Lodging managers
HD01_VD25,Estimate; Total: - Medical and health services managers
HD02_VD25,Margin of Error; Total: - Medical and health services managers
HD01_VD26,Estimate; Total: - Natural sciences managers
HD02_VD26,Margin of Error; Total: - Natural sciences managers
HD01_VD27,Estimate; Total: - Postmasters and mail superintendents
HD02_VD27,Margin of Error; Total: - Postmasters and mail superintendents
HD01_VD28,"Estimate; Total: - Property, real estate, and community association managers"
HD02_VD28,"Margin of Error; Total: - Property, real estate, and community association managers"
HD01_VD29,Estimate; Total: - Social and community service managers
HD02_VD29,Margin of Error; Total: - Social and community service managers
HD01_VD30,Estimate; Total: - Emergency management directors
HD02_VD30,Margin of Error; Total: - Emergency management directors
HD01_VD31,"Estimate; Total: - Managers, all other"
HD02_VD31,"Margin of Error; Total: - Managers, all other"
HD01_VD32,"Estimate; Total: - Agents and business managers of artists, performers, and athletes"
HD02_VD32,"Margin of Error; Total: - Agents and business managers of artists, performers, and athletes"
HD01_VD33,"Estimate; Total: - Buyers and purchasing agents, farm products"
HD02_VD33,"Margin of Error; Total: - Buyers and purchasing agents, farm products"
HD01_VD34,"Estimate; Total: - Wholesale and retail buyers, except farm products"
HD02_VD34,"Margin of Error; Total: - Wholesale and retail buyers, except farm products"
HD01_VD35,"Estimate; Total: - Purchasing agents, except wholesale, retail, and farm products"
HD02_VD35,"Margin of Error; Total: - Purchasing agents, except wholesale, retail, and farm products"
HD01_VD36,"Estimate; Total: - Claims adjusters, appraisers, examiners, and investigators"
HD02_VD36,"Margin of Error; Total: - Claims adjusters, appraisers, examiners, and investigators"
HD01_VD37,Estimate; Total: - Compliance officers
HD02_VD37,Margin of Error; Total: - Compliance officers
HD01_VD38,Estimate; Total: - Cost estimators
HD02_VD38,Margin of Error; Total: - Cost estimators
HD01_VD39,Estimate; Total: - Human resources workers
HD02_VD39,Margin of Error; Total: - Human resources workers
HD01_VD40,"Estimate; Total: - Compensation, benefits, and job analysis specialists"
HD02_VD40,"Margin of Error; Total: - Compensation, benefits, and job analysis specialists"
HD01_VD41,Estimate; Total: - Training and development specialists
HD02_VD41,Margin of Error; Total: - Training and development specialists
HD01_VD42,Estimate; Total: - Logisticians
HD02_VD42,Margin of Error; Total: - Logisticians
HD01_VD43,Estimate; Total: - Management analysts
HD02_VD43,Margin of Error; Total: - Management analysts
HD01_VD44,"Estimate; Total: - Meeting, convention, and event planners"
HD02_VD44,"Margin of Error; Total: - Meeting, convention, and event planners"
HD01_VD45,Estimate; Total: - Fundraisers
HD02_VD45,Margin of Error; Total: - Fundraisers
HD01_VD46,Estimate; Total: - Market research analysts and marketing specialists
HD02_VD46,Margin of Error; Total: - Market research analysts and marketing specialists
HD01_VD47,"Estimate; Total: - Business operations specialists, all other"
HD02_VD47,"Margin of Error; Total: - Business operations specialists, all other"
HD01_VD48,Estimate; Total: - Accountants and auditors
HD02_VD48,Margin of Error; Total: - Accountants and auditors
HD01_VD49,Estimate; Total: - Appraisers and assessors of real estate
HD02_VD49,Margin of Error; Total: - Appraisers and assessors of real estate
HD01_VD50,Estimate; Total: - Budget analysts
HD02_VD50,Margin of Error; Total: - Budget analysts
HD01_VD51,Estimate; Total: - Credit analysts
HD02_VD51,Margin of Error; Total: - Credit analysts
HD01_VD52,Estimate; Total: - Financial analysts
HD02_VD52,Margin of Error; Total: - Financial analysts
HD01_VD53,Estimate; Total: - Personal financial advisors
HD02_VD53,Margin of Error; Total: - Personal financial advisors
HD01_VD54,Estimate; Total: - Insurance underwriters
HD02_VD54,Margin of Error; Total: - Insurance underwriters
HD01_VD55,Estimate; Total: - Financial examiners
HD02_VD55,Margin of Error; Total: - Financial examiners
HD01_VD56,Estimate; Total: - Credit counselors and loan officers
HD02_VD56,Margin of Error; Total: - Credit counselors and loan officers
HD01_VD57,"Estimate; Total: - Tax examiners and collectors, and revenue agents"
HD02_VD57,"Margin of Error; Total: - Tax examiners and collectors, and revenue agents"
HD01_VD58,Estimate; Total: - Tax preparers
HD02_VD58,Margin of Error; Total: - Tax preparers
HD01_VD59,"Estimate; Total: - Financial specialists, all other"
