GEO.id,Id,0100000US
GEO.id2,Id2,
GEO.display-label,Geography,United States
HC01_EST_VC01,"Total; Estimate; Full-time, year-round civilian employed population 16 years and over",97259723
HC01_MOE_VC01,"Total; Margin of Error; Full-time, year-round civilian employed population 16 years and over",71035
HC02_EST_VC01,"Male; Estimate; Full-time, year-round civilian employed population 16 years and over",56.7
HC02_MOE_VC01,"Male; Margin of Error; Full-time, year-round civilian employed population 16 years and over",0.1
HC03_EST_VC01,"Female; Estimate; Full-time, year-round civilian employed population 16 years and over",43.3
HC03_MOE_VC01,"Female; Margin of Error; Full-time, year-round civilian employed population 16 years and over",0.1
HC04_EST_VC01,"Median earnings (dollars); Estimate; Full-time, year-round civilian employed population 16 years and over",43880
HC04_MOE_VC01,"Median earnings (dollars); Margin of Error; Full-time, year-round civilian employed population 16 years and over",101
HC05_EST_VC01,"Median earnings (dollars) for male; Estimate; Full-time, year-round civilian employed population 16 years and over",49410
HC05_MOE_VC01,"Median earnings (dollars) for male; Margin of Error; Full-time, year-round civilian employed population 16 years and over",147
HC06_EST_VC01,"Median earnings (dollars) for female; Estimate; Full-time, year-round civilian employed population 16 years and over",38729
HC06_MOE_VC01,"Median earnings (dollars) for female; Margin of Error; Full-time, year-round civilian employed population 16 years and over",83
HC01_EST_VC02,"Total; Estimate; Management, business, science, and arts occupations:",39187523
HC01_MOE_VC02,"Total; Margin of Error; Management, business, science, and arts occupations:",149776
HC02_EST_VC02,"Male; Estimate; Management, business, science, and arts occupations:",51.7
HC02_MOE_VC02,"Male; Margin of Error; Management, business, science, and arts occupations:",0.1
HC03_EST_VC02,"Female; Estimate; Management, business, science, and arts occupations:",48.3
HC03_MOE_VC02,"Female; Margin of Error; Management, business, science, and arts occupations:",0.1
HC04_EST_VC02,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations:",62189
HC04_MOE_VC02,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations:",79
HC05_EST_VC02,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations:",74135
HC05_MOE_VC02,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations:",146
HC06_EST_VC02,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations:",53123
HC06_MOE_VC02,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations:",59
